DAERAH_MENGUNDI_2015,KOD,PARLIMEN,DUN,TEMPAT_MENGUNDI,BN,BN_CALON,UNDI_BN,PKR,CALON,UNDI,PRM,CALON,UNDI,LAIN_LAIN,LAIN_LAIN_CALON,UNDI_LAIN_LAIN,UNDI_ROSAK,JUMLAH_UNDI_BAIK,JUMLAH_UNDI_BAIK_ROSAK,JUMLAH_UNDI_POS ,JUMLAH_PEMILIH _HADIR_TERMASUK_POS,JUMLAH_PEMILIH_TIDAK_HADIR,JUMLAH_PEMILIH_DAERAH_MENGUNDI_2015
JALAN SEMBILANG,044/10/01,PERMATANG PAUH,Seberang Jaya,SMK SEBERANG JAYA,UMNO,SUHAIMI BIN SABUDIN,1380,PKR,DR WAN AZIZAH WAN ISMAIL,1442,PRM,AZMAN SHAH,1,BEBAS,SALLEH BIN ISAHAK,26,47,2849,2896,8,3989,1085,5074
SEBERANG JAYA II,044/10/02,PERMATANG PAUH,Seberang Jaya,SK. SEBERANG JAYA 2 LENGKOK TENGGIRI,UMNO,SUHAIMI BIN SABUDIN,902,PKR,DR WAN AZIZAH WAN ISMAIL,1560,PRM,AZMAN SHAH,2,BEBAS,SALLEH BIN ISAHAK,15,35,2479,2514,2,3671,1155,4826
KAMPONG PERTAMA,044/10/03,PERMATANG PAUH,Seberang Jaya,SEKOLAH KEBANGSAAN PERMATANG TO` KANDU,UMNO,SUHAIMI BIN SABUDIN,633,PKR,DR WAN AZIZAH WAN ISMAIL,970,PRM,AZMAN SHAH,4,BEBAS,SALLEH BIN ISAHAK,12,15,1619,1634,5,2107,468,2575
KAMPONG BELAH DUA,044/10/04,PERMATANG PAUH,Seberang Jaya,SMK PAUH JAYA TAMAN PAUH,UMNO,SUHAIMI BIN SABUDIN,959,PKR,DR WAN AZIZAH WAN ISMAIL,986,PRM,AZMAN SHAH,3,BEBAS,SALLEH BIN ISAHAK,13,21,1961,1982,5,2649,662,3311
SEBERANG JAYA I,044/10/05,PERMATANG PAUH,Seberang Jaya,SEKOLAH KEBANGSAAN SEBERANG JAYA PERSIARAN SIAKAP,UMNO,SUHAIMI BIN SABUDIN,917,PKR,DR WAN AZIZAH WAN ISMAIL,1496,PRM,AZMAN SHAH,1,BEBAS,SALLEH BIN ISAHAK,17,24,2431,2455,3,3581,1123,4704
JALAN BAHRU,044/10/06,PERMATANG PAUH,Seberang Jaya,SEKOLAH KEBANGSAAN JALAN BAHARU,UMNO,SUHAIMI BIN SABUDIN,1424,PKR,DR WAN AZIZAH WAN ISMAIL,1165,PRM,AZMAN SHAH,4,BEBAS,SALLEH BIN ISAHAK,21,30,2614,2644,8,3649,997,4646
SIMPANG AMPAT,044/10/07,PERMATANG PAUH,Seberang Jaya,SEKOLAH MENENGAH KEBANGSAAN PERMATANG RAWA,UMNO,SUHAIMI BIN SABUDIN,1254,PKR,DR WAN AZIZAH WAN ISMAIL,1204,PRM,AZMAN SHAH,9,BEBAS,SALLEH BIN ISAHAK,22,8,2489,2497,8,3487,982,4469
JALAN TUNA,044/10/08,PERMATANG PAUH,Seberang Jaya,SK. SEBERANG JAYA 2 LENGKOK TENGGIRI,UMNO,SUHAIMI BIN SABUDIN,953,PKR,DR WAN AZIZAH WAN ISMAIL,1470,PRM,AZMAN SHAH,8,BEBAS,SALLEH BIN ISAHAK,7,27,2438,2465,31,3524,905,4429
TAMAN TUN HUSSEIN ONN,044/10/09,PERMATANG PAUH,Seberang Jaya,SMK TUN HUSSEIN ONN,UMNO,SUHAIMI BIN SABUDIN,786,PKR,DR WAN AZIZAH WAN ISMAIL,1305,PRM,AZMAN SHAH,4,BEBAS,SALLEH BIN ISAHAK,17,46,2112,2158,5,3007,843,3850
SAMA GAGAH,044/11/01,PERMATANG PAUH,Permatang Pasir,SEK. MEN. KEB. SAMA GAGAH,UMNO,SUHAIMI BIN SABUDIN,573,PKR,DR WAN AZIZAH WAN ISMAIL,1693,PRM,AZMAN SHAH,3,BEBAS,SALLEH BIN ISAHAK,21,48,2290,2338,3,3024,683,3707
PERMATANG ARA,044/11/02,PERMATANG PAUH,Permatang Pasir,SEKOLAH KEBANGSAAN PERMATANG PASIR,UMNO,SUHAIMI BIN SABUDIN,1308,PKR,DR WAN AZIZAH WAN ISMAIL,1480,PRM,AZMAN SHAH,1,BEBAS,SALLEH BIN ISAHAK,30,60,2819,2879,6,3657,772,4429
PERMATANG PAUH,044/11/03,PERMATANG PAUH,Permatang Pasir,SEKOLAH KEBANGSAAN PERMATANG PAUH,UMNO,SUHAIMI BIN SABUDIN,392,PKR,DR WAN AZIZAH WAN ISMAIL,1008,PRM,AZMAN SHAH,3,BEBAS,SALLEH BIN ISAHAK,7,34,1410,1444,3,1827,380,2207
BUKIT INDRA MUDA,044/11/04,PERMATANG PAUH,Permatang Pasir,SEKOLAH KEBANGSAAN BUKIT INDERA MUDA,UMNO,SUHAIMI BIN SABUDIN,1037,PKR,DR WAN AZIZAH WAN ISMAIL,1344,PRM,AZMAN SHAH,6,BEBAS,SALLEH BIN ISAHAK,20,44,2407,2451,5,3104,648,3752
KAMPONG PELET,044/11/05,PERMATANG PAUH,Permatang Pasir,SJK (C) KUBANG SEMANG,UMNO,SUHAIMI BIN SABUDIN,639,PKR,DR WAN AZIZAH WAN ISMAIL,880,PRM,AZMAN SHAH,1,BEBAS,SALLEH BIN ISAHAK,3,25,1523,1548,4,2049,497,2546
KUBANG SEMANG,044/11/06,PERMATANG PAUH,Permatang Pasir,SEKOLAH KEBANGSAAN SERI PENANTI,UMNO,SUHAIMI BIN SABUDIN,358,PKR,DR WAN AZIZAH WAN ISMAIL,765,PRM,AZMAN SHAH,1,BEBAS,SALLEH BIN ISAHAK,10,41,1134,1175,7,1581,399,1980
TANAH LIAT MUKIM 8,044/11/07,PERMATANG PAUH,Permatang Pasir,SEKOLAH KEBANGSAAN SERI PENANTI,UMNO,SUHAIMI BIN SABUDIN,632,PKR,DR WAN AZIZAH WAN ISMAIL,1116,PRM,AZMAN SHAH,4,BEBAS,SALLEH BIN ISAHAK,17,33,1769,1802,10,2498,685,3183
KAMPONG CROSS STREET 2,044/11/08,PERMATANG PAUH,Permatang Pasir,SEKOLAH RENDAH ISLAM AL-MASRIYAH (SABK),UMNO,SUHAIMI BIN SABUDIN,225,PKR,DR WAN AZIZAH WAN ISMAIL,1182,PRM,AZMAN SHAH,2,BEBAS,SALLEH BIN ISAHAK,7,31,1416,1447,2,2094,645,2739
PERMATANG TENGAH,044/11/09,PERMATANG PAUH,Permatang Pasir,S.J.K (C) LAY KEOW,UMNO,SUHAIMI BIN SABUDIN,814,PKR,DR WAN AZIZAH WAN ISMAIL,1398,PRM,AZMAN SHAH,4,BEBAS,SALLEH BIN ISAHAK,16,29,2232,2261,3,2976,712,3688
GUAR PERAHU,044/12/01,PERMATANG PAUH,PENANTI,SEKOLAH MENENGAH KEBANGSAAN GUAR PERAHU,UMNO,SUHAIMI BIN SABUDIN,986,PKR,DR WAN AZIZAH WAN ISMAIL,827,PRM,AZMAN SHAH,7,BEBAS,SALLEH BIN ISAHAK,18,28,1838,1866,5,2334,463,2797
KUALA MENGKUANG,044/12/02,PERMATANG PAUH,PENANTI,SEKOLAH KEBANGSAAN GUAR PERAHU,UMNO,SUHAIMI BIN SABUDIN,1518,PKR,DR WAN AZIZAH WAN ISMAIL,1354,PRM,AZMAN SHAH,10,BEBAS,SALLEH BIN ISAHAK,18,20,2900,2920,13,4039,1106,5145
TELOK WANG,044/12/03,PERMATANG PAUH,PENANTI,DEWAN ORANG RAMAI DAN TABIKA KAMPUNG TUN SARDON,UMNO,SUHAIMI BIN SABUDIN,284,PKR,DR WAN AZIZAH WAN ISMAIL,247,PRM,AZMAN SHAH,1,BEBAS,SALLEH BIN ISAHAK,1,13,533,546,2,673,125,798
MENGKUANG,044/12/04,PERMATANG PAUH,PENANTI,SEKOLAH KEBANGSAAN MENGKUANG,UMNO,SUHAIMI BIN SABUDIN,791,PKR,DR WAN AZIZAH WAN ISMAIL,995,PRM,AZMAN SHAH,6,BEBAS,SALLEH BIN ISAHAK,5,28,1797,1825,6,2407,576,2983
SUNGAI LEMBU,044/12/05,PERMATANG PAUH,PENANTI,S.J.K. (C) KG. SG. LEMBU,UMNO,SUHAIMI BIN SABUDIN,123,PKR,DR WAN AZIZAH WAN ISMAIL,282,PRM,AZMAN SHAH,2,BEBAS,SALLEH BIN ISAHAK,1,9,408,417,0,524,107,631
PENANTI,044/12/06,PERMATANG PAUH,PENANTI,SEKOLAH MENENGAH KEBANGSAAN MENGKUANG,UMNO,SUHAIMI BIN SABUDIN,309,PKR,DR WAN AZIZAH WAN ISMAIL,509,PRM,AZMAN SHAH,1,BEBAS,SALLEH BIN ISAHAK,5,14,824,838,0,1174,336,1510
KUBANG ULU,044/12/07,PERMATANG PAUH,PENANTI,SEKOLAH MENENGAH KEBANGSAAN PENANTI,UMNO,SUHAIMI BIN SABUDIN,378,PKR,DR WAN AZIZAH WAN ISMAIL,753,PRM,AZMAN SHAH,2,BEBAS,SALLEH BIN ISAHAK,8,15,1141,1156,0,1620,464,2084
SUNGAI SEMAMBU,044/12/08,PERMATANG PAUH,PENANTI,SEKOLAH KEBANGSAAN TANAH LIAT,UMNO,SUHAIMI BIN SABUDIN,471,PKR,DR WAN AZIZAH WAN ISMAIL,1032,PRM,AZMAN SHAH,4,BEBAS,SALLEH BIN ISAHAK,13,28,1520,1548,1,2152,603,2755
TANAH LIAT,044/12/09,PERMATANG PAUH,PENANTI,SEKOLAH KEBANGSAAN TANAH LIAT,UMNO,SUHAIMI BIN SABUDIN,681,PKR,DR WAN AZIZAH WAN ISMAIL,949,PRM,AZMAN SHAH,4,BEBAS,SALLEH BIN ISAHAK,11,22,1645,1667,5,2302,630,2932
BERAPIT ROAD,044/12/10,PERMATANG PAUH,PENANTI,SJK (C) JIT SIN A & B,UMNO,SUHAIMI BIN SABUDIN,167,PKR,DR WAN AZIZAH WAN ISMAIL,847,PRM,AZMAN SHAH,2,BEBAS,SALLEH BIN ISAHAK,2,18,1018,1036,1,1553,516,2069
UNDI AWAL,,PERMATANG PAUH,,BEREK KELAMIN BALAI POLIS KUBANG SEMANG,UMNO,SUHAIMI BIN SABUDIN,29,PKR,DR WAN AZIZAH WAN ISMAIL,0,PRM,AZMAN SHAH,0,BEBAS,SALLEH BIN ISAHAK,0,1,29,30,0,30,0,30
UNDI AWAL,,PERMATANG PAUH,,DEWAN GEMILANG IPD SPT,UMNO,SUHAIMI BIN SABUDIN,488,PKR,DR WAN AZIZAH WAN ISMAIL,20,PRM,AZMAN SHAH,1,BEBAS,SALLEH BIN ISAHAK,2,8,511,519,0,597,78,675
UNDI POS,,PERMATANG PAUH,,,UMNO,SUHAIMI BIN SABUDIN,55,PKR,DR WAN AZIZAH WAN ISMAIL,43,PRM,AZMAN SHAH,0,BEBAS,SALLEH BIN ISAHAK,2,4,100,104,N/A,151,58,209
