DAERAH_MENGUNDI_2015,KOD,BN,BN_CALON,UNDI,STAR,STAR_CALON,UNDI,PBDSB,PBDS_CALON,UNDI,UNDI_ROSAK,JUMLAH_UNDI_BAIK,JUMLAH_PEMILIH
TELOK MELANO,193/03/01,PBB,DATUK AMAR HAJAH JAMILAH ANU,114,STAR,JOHNY BOB ANAK APUT,0,PBDSB,RAPELSON RICHARD HAMIT,0,0,114,172
PUEH,193/03/02,PBB,DATUK AMAR HAJAH JAMILAH ANU,430,STAR,JOHNY BOB ANAK APUT,6,PBDSB,RAPELSON RICHARD HAMIT,21,5,457,635
SEBAT,193/03/03,PBB,DATUK AMAR HAJAH JAMILAH ANU,313,STAR,JOHNY BOB ANAK APUT,10,PBDSB,RAPELSON RICHARD HAMIT,15,5,338,516
SEMATAN,193/03/04,PBB,DATUK AMAR HAJAH JAMILAH ANU,688,STAR,JOHNY BOB ANAK APUT,15,PBDSB,RAPELSON RICHARD HAMIT,9,15,712,1101
SELING,193/03/05,PBB,DATUK AMAR HAJAH JAMILAH ANU,715,STAR,JOHNY BOB ANAK APUT,1,PBDSB,RAPELSON RICHARD HAMIT,6,6,722,1024
STUNGGANG,193/03/06,PBB,DATUK AMAR HAJAH JAMILAH ANU,804,STAR,JOHNY BOB ANAK APUT,8,PBDSB,RAPELSON RICHARD HAMIT,7,7,819,1219
LUNDU,193/03/07,PBB,DATUK AMAR HAJAH JAMILAH ANU,1044,STAR,JOHNY BOB ANAK APUT,31,PBDSB,RAPELSON RICHARD HAMIT,18,5,1093,1810
PERIGI,193/03/08,PBB,DATUK AMAR HAJAH JAMILAH ANU,105,STAR,JOHNY BOB ANAK APUT,3,PBDSB,RAPELSON RICHARD HAMIT,0,1,108,171
SEKAMBAL,193/03/09,PBB,DATUK AMAR HAJAH JAMILAH ANU,360,STAR,JOHNY BOB ANAK APUT,6,PBDSB,RAPELSON RICHARD HAMIT,3,4,369,566
BAJO,193/03/10,PBB,DATUK AMAR HAJAH JAMILAH ANU,297,STAR,JOHNY BOB ANAK APUT,3,PBDSB,RAPELSON RICHARD HAMIT,0,12,300,410
SEBEMBAN,193/03/11,PBB,DATUK AMAR HAJAH JAMILAH ANU,233,STAR,JOHNY BOB ANAK APUT,9,PBDSB,RAPELSON RICHARD HAMIT,15,3,257,360
TEMELAN,193/03/12,PBB,DATUK AMAR HAJAH JAMILAH ANU,261,STAR,JOHNY BOB ANAK APUT,2,PBDSB,RAPELSON RICHARD HAMIT,15,3,278,398
SEMPADI,193/03/13,PBB,DATUK AMAR HAJAH JAMILAH ANU,479,STAR,JOHNY BOB ANAK APUT,11,PBDSB,RAPELSON RICHARD HAMIT,10,5,500,659
STOH,193/03/14,PBB,DATUK AMAR HAJAH JAMILAH ANU,167,STAR,JOHNY BOB ANAK APUT,1,PBDSB,RAPELSON RICHARD HAMIT,0,1,168,257
RAMBUNGAN,193/03/15,PBB,DATUK AMAR HAJAH JAMILAH ANU,366,STAR,JOHNY BOB ANAK APUT,1,PBDSB,RAPELSON RICHARD HAMIT,10,5,377,473
UNDI POS/ AWAL,193/03/POS,PBB,DATUK AMAR HAJAH JAMILAH ANU,N/A,STAR,JOHNY BOB ANAK APUT,N/A,PBDSB,RAPELSON RICHARD HAMIT,N/A,3,N/A,188
