TINDAK SEQUENCE NUMBER,NEGERI,JENIS UNDI,KOD PARLIMEN,NAMA PARLIMEN,KOD DUN,NAMA DUN,KOD DM,NAMA DAERAH MENGUNDI,NAMA PUSAT MENGUNDI,NOMBOR TEMPAT MENGUNDI,Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),BN,BN_CALON,BN_UNDI,PH,PH_CALON,PH_UNDI,LAIN1,LAIN1_CALON,LAIN1_UNDI,LAIN2,LAIN2_CALON,LAIN2_UNDI,LAIN3,LAIN3_CALON,LAIN3_UNDI,LAIN4_UNDI,LAIN4_CALON,LAIN4_UNDI,Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,JOHOR,UNDI POS,165,TANJUNG PIAI,UNDI POS,UNDI POS,165/UNDI POS,UNDI POS,UNDI POS,1,235,MCA,WEE JECK SENG,131,PPBM,HAJI KARMAINE BIN  SARDINI,60,GERAKAN,WENDY SUBRAMANIAM,1,BERJASA,DATO' DR  BADHRULHISHAM,5,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,197,14,24
2,JOHOR,UNDI AWAL,165,TANJUNG PIAI,UNDI AWAL,UNDI AWAL,165/55/00,UNDI AWAL,BANGUNAN PERKEP IPD PONTIAN,1,20,MCA,WEE JECK SENG,12,PPBM,HAJI KARMAINE BIN  SARDINI,6,GERAKAN,WENDY SUBRAMANIAM,0,BERJASA,DATO' DR  BADHRULHISHAM,1,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,19,1,0
3,JOHOR,UNDI AWAL,165,TANJUNG PIAI,UNDI AWAL,UNDI AWAL,165/56/00,UNDI AWAL,BANGUNAN PERKEP IPD PONTIAN,2,236,MCA,WEE JECK SENG,130,PPBM,HAJI KARMAINE BIN  SARDINI,96,GERAKAN,WENDY SUBRAMANIAM,2,BERJASA,DATO' DR  BADHRULHISHAM,6,BEBAS - KUNCI,DR. ANG CHUAN LOCK,1,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,235,1,0
4,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/01,PARIT KUDUS,SEKOLAH KEBANGSAAN PARIT KUDUS,1,280,MCA,WEE JECK SENG,221,PPBM,HAJI KARMAINE BIN  SARDINI,46,GERAKAN,WENDY SUBRAMANIAM,1,BERJASA,DATO' DR  BADHRULHISHAM,3,BEBAS - KUNCI,DR. ANG CHUAN LOCK,1,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,1,273,7,0
5,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/01,PARIT KUDUS,SEKOLAH KEBANGSAAN PARIT KUDUS,2,310,MCA,WEE JECK SENG,210,PPBM,HAJI KARMAINE BIN  SARDINI,80,GERAKAN,WENDY SUBRAMANIAM,3,BERJASA,DATO' DR  BADHRULHISHAM,7,BEBAS - KUNCI,DR. ANG CHUAN LOCK,1,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,301,9,0
6,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/01,PARIT KUDUS,SEKOLAH KEBANGSAAN PARIT KUDUS,3,260,MCA,WEE JECK SENG,186,PPBM,HAJI KARMAINE BIN  SARDINI,61,GERAKAN,WENDY SUBRAMANIAM,1,BERJASA,DATO' DR  BADHRULHISHAM,8,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,256,4,0
7,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/01,PARIT KUDUS,SEKOLAH KEBANGSAAN PARIT KUDUS,4,285,MCA,WEE JECK SENG,191,PPBM,HAJI KARMAINE BIN  SARDINI,73,GERAKAN,WENDY SUBRAMANIAM,0,BERJASA,DATO' DR  BADHRULHISHAM,16,BEBAS - KUNCI,DR. ANG CHUAN LOCK,0,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,1,281,4,0
8,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/02,TANJONG AYER HITAM,SEKOLAH KEBANGSAAN TANJONG AYER HITAM,1,193,MCA,WEE JECK SENG,130,PPBM,HAJI KARMAINE BIN  SARDINI,35,GERAKAN,WENDY SUBRAMANIAM,7,BERJASA,DATO' DR  BADHRULHISHAM,5,BEBAS - KUNCI,DR. ANG CHUAN LOCK,2,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,1,180,13,0
9,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/02,TANJONG AYER HITAM,SEKOLAH KEBANGSAAN TANJONG AYER HITAM,2,285,MCA,WEE JECK SENG,185,PPBM,HAJI KARMAINE BIN  SARDINI,70,GERAKAN,WENDY SUBRAMANIAM,1,BERJASA,DATO' DR  BADHRULHISHAM,20,BEBAS - KUNCI,DR. ANG CHUAN LOCK,1,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,1,278,7,0
10,JOHOR,UNDI BIASA,165,TANJUNG PIAI,55,PEKAN NENAS,165/55/02,TANJONG AYER HITAM,SEKOLAH KEBANGSAAN TANJONG AYER HITAM,3,290,MCA,WEE JECK SENG,210,PPBM,HAJI KARMAINE BIN  SARDINI,57,GERAKAN,WENDY SUBRAMANIAM,0,BERJASA,DATO' DR  BADHRULHISHAM,18,BEBAS - KUNCI,DR. ANG CHUAN LOCK,1,BEBAS - KERETA,FARIDAH  ARYANI  BINTI ABD GHAFFAR,0,286,4,0
