TINDAK SEQUENCE NUMBER,NEGERI,JENIS UNDI,KOD PARLIMEN,NAMA PARLIMEN,KOD DUN,NAMA DUN,KOD DM,NAMA DAERAH MENGUNDI,NAMA PUSAT MENGUNDI,NOMBOR TEMPAT MENGUNDI,Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),BN,BN_CALON,BN_UNDI,PH,PH_CALON,PH_UNDI,WARISAN,WARISAN_CALON,WARISAN_UNDI,Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,SABAH,UNDI POS,176,KIMANIS,UNDI POS,UNDI POS,176/UNDI POS,UNDI POS,UNDI POS,,36,UMNO,MOHAMAD BIN ALAMIN,13,,,,WARISAN,KARIM BIN BUJANG,21,34,2,0
2,SABAH,UNDI AWAL,176,KIMANIS,UNDI AWAL,UNDI AWAL,176/24/00,UNDI AWAL,BILIK GERAKAN BALAI POLIS MEMBAKUT,1,8,UMNO,MOHAMAD BIN ALAMIN,2,,,,WARISAN,KARIM BIN BUJANG,6,8,0,0
4,SABAH,UNDI BIASA,176,KIMANIS,23,BONGAWAN,176/23/01,BATU ENAM,SEKOLAH KEBANGSAAN OUR LADY,1,271,UMNO,MOHAMAD BIN ALAMIN,120,,,,WARISAN,KARIM BIN BUJANG,139,259,12,0
5,SABAH,UNDI BIASA,176,KIMANIS,23,BONGAWAN,176/23/01,BATU ENAM,SEKOLAH KEBANGSAAN OUR LADY,2,304,UMNO,MOHAMAD BIN ALAMIN,152,,,,WARISAN,KARIM BIN BUJANG,148,300,4,0
6,SABAH,UNDI BIASA,176,KIMANIS,23,BONGAWAN,176/23/01,BATU ENAM,SEKOLAH KEBANGSAAN OUR LADY,3,454,UMNO,MOHAMAD BIN ALAMIN,261,,,,WARISAN,KARIM BIN BUJANG,190,451,3,0
7,SABAH,UNDI BIASA,176,KIMANIS,23,BONGAWAN,176/23/01,BATU ENAM,SEKOLAH KEBANGSAAN OUR LADY,4,450,UMNO,MOHAMAD BIN ALAMIN,279,,,,WARISAN,KARIM BIN BUJANG,165,444,6,0
8,SABAH,UNDI BIASA,176,KIMANIS,23,BONGAWAN,176/23/01,BATU ENAM,SEKOLAH KEBANGSAAN OUR LADY,5,397,UMNO,MOHAMAD BIN ALAMIN,250,,,,WARISAN,KARIM BIN BUJANG,145,395,2,0
9,SABAH,UNDI BIASA,176,KIMANIS,23,BONGAWAN,176/23/02,KABANG,SEKOLAH KEBANGSAAN KAYAU,1,263,UMNO,MOHAMAD BIN ALAMIN,141,,,,WARISAN,KARIM BIN BUJANG,113,254,9,0
10,SABAH,UNDI BIASA,176,KIMANIS,23,BONGAWAN,176/23/02,KABANG,SEKOLAH KEBANGSAAN KAYAU,2,437,UMNO,MOHAMAD BIN ALAMIN,271,,,,WARISAN,KARIM BIN BUJANG,161,432,5,0
11,SABAH,UNDI BIASA,176,KIMANIS,23,BONGAWAN,176/23/02,KABANG,SEKOLAH KEBANGSAAN KAYAU,3,386,UMNO,MOHAMAD BIN ALAMIN,252,,,,WARISAN,KARIM BIN BUJANG,128,380,6,0
12,SABAH,UNDI BIASA,176,KIMANIS,23,BONGAWAN,176/23/03,GADONG,SEKOLAH KEBANGSAAN BELATIK,1,302,UMNO,MOHAMAD BIN ALAMIN,124,,,,WARISAN,KARIM BIN BUJANG,175,299,3,0
13,SABAH,UNDI BIASA,176,KIMANIS,23,BONGAWAN,176/23/03,GADONG,SEKOLAH KEBANGSAAN BELATIK,2,420,UMNO,MOHAMAD BIN ALAMIN,194,,,,WARISAN,KARIM BIN BUJANG,224,418,2,0
