TINDAK SEQUENCE NUMBER,NEGERI,TAHUN,Jenis Undi,Kod Parlimen,Nama Parlimen,Kod DUN,Nama DUN,KOD DM,Nama Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi,Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),PH,PH_CALON,PH_UNDI,BN,BN_CALON,BN_UNDI,GS,GS_CALON,GS_UNDI,LAIN1,LAIN1_CALON,LAIN1_UNDI,LAIN2,LAIN2_CALON,LAIN2_UNDI,LAIN3,LAIN3_CALON,LAIN3_UNDI,LAIN4,LAIN4_CALON,LAIN4_UNDI,Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,SABAH,2019,UNDI POS,186,SANDAKAN,UNDI POS,UNDI POS,186/UNDI POS,UNDI POS,,,177,DAP,VIVIAN WONG SHIR YEE,106,,,,,,,PBS,LINDA TSEN THAU LIN,32,BEBAS - POKOK,HJ. HAMZAH HJ. ABDULLAH,9,BEBAS -  KERUSI,SULAIMAN BIN ABDUL SAMAT,3,BEBAS - KUNCI,CHIA SIEW YUNG,1,151,10,16
2,SABAH,2019,UNDI AWAL,186,SANDAKAN,UNDI AWAL,UNDI AWAL,186/45/00,UNDI AWAL,RUMAH KELAB IPD SANDAKAN,1,62,DAP,VIVIAN WONG SHIR YEE,30,,,,,,,PBS,LINDA TSEN THAU LIN,27,BEBAS - POKOK,HJ. HAMZAH HJ. ABDULLAH,4,BEBAS -  KERUSI,SULAIMAN BIN ABDUL SAMAT,0,BEBAS - KUNCI,CHIA SIEW YUNG,0,61,1,0
3,SABAH,2019,UNDI AWAL,186,SANDAKAN,UNDI AWAL,UNDI AWAL,186/46/00,UNDI AWAL,MES PEGAWAI KANAN PASUKAN POLIS MARIN,1,143,DAP,VIVIAN WONG SHIR YEE,51,,,,,,,PBS,LINDA TSEN THAU LIN,72,BEBAS - POKOK,HJ. HAMZAH HJ. ABDULLAH,16,BEBAS -  KERUSI,SULAIMAN BIN ABDUL SAMAT,2,BEBAS - KUNCI,CHIA SIEW YUNG,1,142,1,0
4,SABAH,2019,UNDI BIASA,186,SANDAKAN,45,ELOPURA,186/45/01,TAMAN INDAH JAYA,SEKOLAH MENENGAH KEBANGSAAN MUHIBBAH,1,234,DAP,VIVIAN WONG SHIR YEE,188,,,,,,,PBS,LINDA TSEN THAU LIN,36,BEBAS - POKOK,HJ. HAMZAH HJ. ABDULLAH,7,BEBAS -  KERUSI,SULAIMAN BIN ABDUL SAMAT,0,BEBAS - KUNCI,CHIA SIEW YUNG,2,233,1,0
5,SABAH,2019,UNDI BIASA,186,SANDAKAN,45,ELOPURA,186/45/01,TAMAN INDAH JAYA,SEKOLAH MENENGAH KEBANGSAAN MUHIBBAH,2,221,DAP,VIVIAN WONG SHIR YEE,165,,,,,,,PBS,LINDA TSEN THAU LIN,36,BEBAS - POKOK,HJ. HAMZAH HJ. ABDULLAH,18,BEBAS -  KERUSI,SULAIMAN BIN ABDUL SAMAT,0,BEBAS - KUNCI,CHIA SIEW YUNG,1,220,1,0
6,SABAH,2019,UNDI BIASA,186,SANDAKAN,45,ELOPURA,186/45/01,TAMAN INDAH JAYA,SEKOLAH MENENGAH KEBANGSAAN MUHIBBAH,3,211,DAP,VIVIAN WONG SHIR YEE,165,,,,,,,PBS,LINDA TSEN THAU LIN,34,BEBAS - POKOK,HJ. HAMZAH HJ. ABDULLAH,11,BEBAS -  KERUSI,SULAIMAN BIN ABDUL SAMAT,1,BEBAS - KUNCI,CHIA SIEW YUNG,0,211,0,0
7,SABAH,2019,UNDI BIASA,186,SANDAKAN,45,ELOPURA,186/45/01,TAMAN INDAH JAYA,SEKOLAH MENENGAH KEBANGSAAN MUHIBBAH,4,200,DAP,VIVIAN WONG SHIR YEE,140,,,,,,,PBS,LINDA TSEN THAU LIN,40,BEBAS - POKOK,HJ. HAMZAH HJ. ABDULLAH,16,BEBAS -  KERUSI,SULAIMAN BIN ABDUL SAMAT,1,BEBAS - KUNCI,CHIA SIEW YUNG,1,198,2,0
8,SABAH,2019,UNDI BIASA,186,SANDAKAN,45,ELOPURA,186/45/01,TAMAN INDAH JAYA,SEKOLAH MENENGAH KEBANGSAAN MUHIBBAH,5,184,DAP,VIVIAN WONG SHIR YEE,129,,,,,,,PBS,LINDA TSEN THAU LIN,43,BEBAS - POKOK,HJ. HAMZAH HJ. ABDULLAH,11,BEBAS -  KERUSI,SULAIMAN BIN ABDUL SAMAT,0,BEBAS - KUNCI,CHIA SIEW YUNG,0,183,1,0
9,SABAH,2019,UNDI BIASA,186,SANDAKAN,45,ELOPURA,186/45/01,TAMAN INDAH JAYA,SEKOLAH MENENGAH KEBANGSAAN MUHIBBAH,6,170,DAP,VIVIAN WONG SHIR YEE,126,,,,,,,PBS,LINDA TSEN THAU LIN,34,BEBAS - POKOK,HJ. HAMZAH HJ. ABDULLAH,4,BEBAS -  KERUSI,SULAIMAN BIN ABDUL SAMAT,1,BEBAS - KUNCI,CHIA SIEW YUNG,4,169,1,0
10,SABAH,2019,UNDI BIASA,186,SANDAKAN,45,ELOPURA,186/45/01,TAMAN INDAH JAYA,SEKOLAH KEBANGSAAN MUHIBBAH,1,230,DAP,VIVIAN WONG SHIR YEE,124,,,,,,,PBS,LINDA TSEN THAU LIN,76,BEBAS - POKOK,HJ. HAMZAH HJ. ABDULLAH,18,BEBAS -  KERUSI,SULAIMAN BIN ABDUL SAMAT,4,BEBAS - KUNCI,CHIA SIEW YUNG,2,224,6,0
