TINDAK SEQUENCE NUMBER,NEGERI,JENIS UNDI,KOD PARLIMEN,NAMA PARLIMEN,KOD DUN,NAMA DUN,KOD DM,NAMA DAERAH MENGUNDI,NAMA PUSAT MENGUNDI,NOMBOR TEMPAT MENGUNDI,Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),BN,BN_CALON,BN_UNDI,PH,PH_CALON,PH_UNDI,BEBAS_1,BEBAS1_CALON,BEBAS1_UNDI,BEBAS_2,BEBAS2_CALON,BEBAS2_UNDI,Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,PAHANG,UNDI POS,85,PEKAN,UNDI POS,UNDI POS,085/23/UNDI POS,UNDI POS,UNDI POS,,156,UMNO,MOHD SHARIM BIN MD ZAIN,120,,,,BEBAS - RUMAH,TENGKU DATO' HISHAM,4,BEBAS - KUNCI,CMK SHUKRI RAMLI,0,124,8,24
2,PAHANG,UNDI AWAL,85,PEKAN,UNDI AWAL,UNDI AWAL,085/23/00,UNDI AWAL,"BILIK MAKLUMAT, BALAI POLIS CHINI",1,17,UMNO,MOHD SHARIM BIN MD ZAIN,17,,,,BEBAS - RUMAH,TENGKU DATO' HISHAM,0,BEBAS - KUNCI,CMK SHUKRI RAMLI,0,17,0,0
4,PAHANG,UNDI BIASA,85,PEKAN,23,CHINI,085/23/01,TERPAI,SK KINCHIR,1,99,UMNO,MOHD SHARIM BIN MD ZAIN,90,,,,BEBAS - RUMAH,TENGKU DATO' HISHAM,0,BEBAS - KUNCI,CMK SHUKRI RAMLI,1,91,8,0
5,PAHANG,UNDI BIASA,85,PEKAN,23,CHINI,085/23/01,TERPAI,SK KINCHIR,2,329,UMNO,MOHD SHARIM BIN MD ZAIN,296,,,,BEBAS - RUMAH,TENGKU DATO' HISHAM,19,BEBAS - KUNCI,CMK SHUKRI RAMLI,4,319,10,0
6,PAHANG,UNDI BIASA,85,PEKAN,23,CHINI,085/23/02,SALONG,DEWAN MEMPELAS KAMPUNG BARU PPSK SALONG MUKIM PENYOR 1,1,119,UMNO,MOHD SHARIM BIN MD ZAIN,100,,,,BEBAS - RUMAH,TENGKU DATO' HISHAM,10,BEBAS - KUNCI,CMK SHUKRI RAMLI,7,117,2,0
7,PAHANG,UNDI BIASA,85,PEKAN,23,CHINI,085/23/02,SALONG,DEWAN MEMPELAS KAMPUNG BARU PPSK SALONG MUKIM PENYOR 1,2,177,UMNO,MOHD SHARIM BIN MD ZAIN,141,,,,BEBAS - RUMAH,TENGKU DATO' HISHAM,21,BEBAS - KUNCI,CMK SHUKRI RAMLI,9,171,6,0
8,PAHANG,UNDI BIASA,85,PEKAN,23,CHINI,085/23/03,MAMBANG,SK MAMBANG,1,106,UMNO,MOHD SHARIM BIN MD ZAIN,84,,,,BEBAS - RUMAH,TENGKU DATO' HISHAM,15,BEBAS - KUNCI,CMK SHUKRI RAMLI,4,103,3,0
9,PAHANG,UNDI BIASA,85,PEKAN,23,CHINI,085/23/03,MAMBANG,SK MAMBANG,2,302,UMNO,MOHD SHARIM BIN MD ZAIN,244,,,,BEBAS - RUMAH,TENGKU DATO' HISHAM,43,BEBAS - KUNCI,CMK SHUKRI RAMLI,3,290,12,0
10,PAHANG,UNDI BIASA,85,PEKAN,23,CHINI,085/23/03,MAMBANG,SK MAMBANG,3,300,UMNO,MOHD SHARIM BIN MD ZAIN,271,,,,BEBAS - RUMAH,TENGKU DATO' HISHAM,23,BEBAS - KUNCI,CMK SHUKRI RAMLI,1,295,5,0
11,PAHANG,UNDI BIASA,85,PEKAN,23,CHINI,085/23/04,PALOH HINAI,SMK PALOH HINAI,1,121,UMNO,MOHD SHARIM BIN MD ZAIN,107,,,,BEBAS - RUMAH,TENGKU DATO' HISHAM,8,BEBAS - KUNCI,CMK SHUKRI RAMLI,2,117,4,0
12,PAHANG,UNDI BIASA,85,PEKAN,23,CHINI,085/23/04,PALOH HINAI,SMK PALOH HINAI,2,247,UMNO,MOHD SHARIM BIN MD ZAIN,221,,,,BEBAS - RUMAH,TENGKU DATO' HISHAM,19,BEBAS - KUNCI,CMK SHUKRI RAMLI,4,244,3,0
13,PAHANG,UNDI BIASA,85,PEKAN,23,CHINI,085/23/04,PALOH HINAI,SMK PALOH HINAI,3,221,UMNO,MOHD SHARIM BIN MD ZAIN,210,,,,BEBAS - RUMAH,TENGKU DATO' HISHAM,8,BEBAS - KUNCI,CMK SHUKRI RAMLI,1,219,2,0
14,PAHANG,UNDI BIASA,85,PEKAN,23,CHINI,085/23/04,PALOH HINAI,SMK PALOH HINAI,4,218,UMNO,MOHD SHARIM BIN MD ZAIN,202,,,,BEBAS - RUMAH,TENGKU DATO' HISHAM,10,BEBAS - KUNCI,CMK SHUKRI RAMLI,0,212,6,0
