TINDAK SEQUENCE NUMBER,NEGERI,JENIS UNDI,KOD PARLIMEN,NAMA PARLIMEN,KOD DUN,NAMA DUN,KOD DM,NAMA DAERAH MENGUNDI,NAMA PUSAT MENGUNDI,NOMBOR TEMPAT MENGUNDI,Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),BN,BN_CALON,BN_UNDI,PH,PH_CALON,PH_UNDI,GS,GS_CALON,GS_UNDI,BEBAS_1,BEBAS1_CALON,BEBAS1_UNDI,BEBAS_2,BEBAS2_CALON,BEBAS2_UNDI,Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,PERAK,UNDI POS,P.077,TANJONG MALIM,N.58,SLIM,UNDI POS,UNDI POS,UNDI POS,1,78,UMNO,ZAIDI AZIZ,53,,,,,,,BEBAS - POKOK,AMIR KHUSYAIRI,5,BEBAS - BUKU,PROFESOR SANTHARASEKARAN SUBRAMANIAM,0,58,5,15
2,PERAK,UNDI AWAL,P.077,TANJONG MALIM,N.58,SLIM,077/58/00,UNDI AWAL,"DEWAN SRI TANJONG, IPD MUALLIM",1,257,UMNO,ZAIDI AZIZ,241,,,,,,,BEBAS - POKOK,AMIR KHUSYAIRI,11,BEBAS - BUKU,PROFESOR SANTHARASEKARAN SUBRAMANIAM,0,252,5,0
3,PERAK,UNDI BIASA,P.077,TANJONG MALIM,N.58,SLIM,077/58/01,LADANG SUNGKAI,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SUNGKAI,1,123,UMNO,ZAIDI AZIZ,82,,,,,,,BEBAS - POKOK,AMIR KHUSYAIRI,32,BEBAS - BUKU,PROFESOR SANTHARASEKARAN SUBRAMANIAM,7,121,2,0
4,PERAK,UNDI BIASA,P.077,TANJONG MALIM,N.58,SLIM,077/58/01,LADANG SUNGKAI,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SUNGKAI,2,111,UMNO,ZAIDI AZIZ,75,,,,,,,BEBAS - POKOK,AMIR KHUSYAIRI,28,BEBAS - BUKU,PROFESOR SANTHARASEKARAN SUBRAMANIAM,6,109,2,0
5,PERAK,UNDI BIASA,P.077,TANJONG MALIM,N.58,SLIM,077/58/02,PEKAN LAMA,SEKOLAH KEBANGSAAN CHANGKAT SULAIMAN,1,118,UMNO,ZAIDI AZIZ,83,,,,,,,BEBAS - POKOK,AMIR KHUSYAIRI,26,BEBAS - BUKU,PROFESOR SANTHARASEKARAN SUBRAMANIAM,4,113,5,0
6,PERAK,UNDI BIASA,P.077,TANJONG MALIM,N.58,SLIM,077/58/02,PEKAN LAMA,SEKOLAH KEBANGSAAN CHANGKAT SULAIMAN,2,109,UMNO,ZAIDI AZIZ,87,,,,,,,BEBAS - POKOK,AMIR KHUSYAIRI,16,BEBAS - BUKU,PROFESOR SANTHARASEKARAN SUBRAMANIAM,4,107,2,0
7,PERAK,UNDI BIASA,P.077,TANJONG MALIM,N.58,SLIM,077/58/03,CHANGKAT SULAIMAN,SEKOLAH KEBANGSAAN CHANGKAT SULAIMAN,3,283,UMNO,ZAIDI AZIZ,249,,,,,,,BEBAS - POKOK,AMIR KHUSYAIRI,22,BEBAS - BUKU,PROFESOR SANTHARASEKARAN SUBRAMANIAM,1,272,11,0
8,PERAK,UNDI BIASA,P.077,TANJONG MALIM,N.58,SLIM,077/58/03,CHANGKAT SULAIMAN,SEKOLAH KEBANGSAAN CHANGKAT SULAIMAN,4,417,UMNO,ZAIDI AZIZ,371,,,,,,,BEBAS - POKOK,AMIR KHUSYAIRI,43,BEBAS - BUKU,PROFESOR SANTHARASEKARAN SUBRAMANIAM,1,415,2,0
9,PERAK,UNDI BIASA,P.077,TANJONG MALIM,N.58,SLIM,077/58/04,TROLAK UTARA,SEKOLAH KEBANGSAAN TROLAK UTARA,1,263,UMNO,ZAIDI AZIZ,227,,,,,,,BEBAS - POKOK,AMIR KHUSYAIRI,26,BEBAS - BUKU,PROFESOR SANTHARASEKARAN SUBRAMANIAM,1,254,9,0
10,PERAK,UNDI BIASA,P.077,TANJONG MALIM,N.58,SLIM,077/58/04,TROLAK UTARA,SEKOLAH KEBANGSAAN TROLAK UTARA,2,280,UMNO,ZAIDI AZIZ,246,,,,,,,BEBAS - POKOK,AMIR KHUSYAIRI,27,BEBAS - BUKU,PROFESOR SANTHARASEKARAN SUBRAMANIAM,0,273,7,0
11,PERAK,UNDI BIASA,P.077,TANJONG MALIM,N.58,SLIM,077/58/04,TROLAK UTARA,SEKOLAH KEBANGSAAN TROLAK UTARA,3,348,UMNO,ZAIDI AZIZ,269,,,,,,,BEBAS - POKOK,AMIR KHUSYAIRI,56,BEBAS - BUKU,PROFESOR SANTHARASEKARAN SUBRAMANIAM,1,326,22,0
12,PERAK,UNDI BIASA,P.077,TANJONG MALIM,N.58,SLIM,077/58/04,TROLAK UTARA,SEKOLAH KEBANGSAAN TROLAK UTARA,4,321,UMNO,ZAIDI AZIZ,271,,,,,,,BEBAS - POKOK,AMIR KHUSYAIRI,47,BEBAS - BUKU,PROFESOR SANTHARASEKARAN SUBRAMANIAM,1,319,2,0
13,PERAK,UNDI BIASA,P.077,TANJONG MALIM,N.58,SLIM,077/58/04,TROLAK UTARA,SEKOLAH KEBANGSAAN TROLAK UTARA,5,325,UMNO,ZAIDI AZIZ,275,,,,,,,BEBAS - POKOK,AMIR KHUSYAIRI,45,BEBAS - BUKU,PROFESOR SANTHARASEKARAN SUBRAMANIAM,2,322,2,1
14,PERAK,UNDI BIASA,P.077,TANJONG MALIM,N.58,SLIM,077/58/04,TROLAK UTARA,SEKOLAH KEBANGSAAN TROLAK UTARA,6,307,UMNO,ZAIDI AZIZ,263,,,,,,,BEBAS - POKOK,AMIR KHUSYAIRI,43,BEBAS - BUKU,PROFESOR SANTHARASEKARAN SUBRAMANIAM,0,306,1,0
